n,threshold,evidence_scope,draft_token_f1,final_token_f1,top1_case_accuracy,retrieved_case_hit_rate,evidence_support_rate,revision_rate,abstention_rate,unsupported_sentence_rate,negation_conflict_count,sentence_count,system
360,0.4,top1,0.14586630794514965,0.19730160924137927,0.23055555555555557,0.38333333333333336,0.28099463172992584,1.0,0.3194444444444444,0.6601277372262774,113,2192,report_bm25
360,0.5,top1,0.14586630794514965,0.19423366630504518,0.23055555555555557,0.38333333333333336,0.2415195620465228,1.0,0.375,0.6947992700729927,113,2192,report_bm25
360,0.6,top1,0.14586630794514965,0.18248292389950285,0.23055555555555557,0.38333333333333336,0.1968269811161968,1.0,0.46111111111111114,0.7449817518248175,113,2192,report_bm25
360,0.65,top1,0.14586630794514965,0.1791240120254219,0.23055555555555557,0.38333333333333336,0.18455522509444075,1.0,0.49166666666666664,0.7618613138686131,113,2192,report_bm25
360,0.7,top1,0.14586630794514965,0.17923442300132852,0.23055555555555557,0.38333333333333336,0.15512392609206335,1.0,0.5277777777777778,0.8061131386861314,113,2192,report_bm25
360,0.4,top1,0.18798335138630284,0.14592333938747112,0.23055555555555557,0.38333333333333336,0.4356955467372134,0.8888888888888888,0.24166666666666667,0.5473773265651438,31,1182,case_bm25_top1
360,0.5,top1,0.18798335138630284,0.1339303156637211,0.23055555555555557,0.38333333333333336,0.3276653439153439,0.9138888888888889,0.30833333333333335,0.676818950930626,31,1182,case_bm25_top1
360,0.6,top1,0.18798335138630284,0.11470784140349818,0.23055555555555557,0.38333333333333336,0.1860405643738977,0.95,0.5527777777777778,0.8181049069373942,31,1182,case_bm25_top1
360,0.65,top1,0.18798335138630284,0.10855062867546098,0.23055555555555557,0.38333333333333336,0.16004519400352735,0.9555555555555556,0.6083333333333333,0.8434856175972927,31,1182,case_bm25_top1
360,0.7,top1,0.18798335138630284,0.1003770036366887,0.23055555555555557,0.38333333333333336,0.13469135802469134,0.9611111111111111,0.6583333333333333,0.8705583756345178,31,1182,case_bm25_top1
360,0.4,top1,0.2090708410561113,0.17114892973236803,0.24166666666666667,0.4222222222222222,0.4687466931216931,0.8527777777777777,0.22777777777777777,0.5268542199488491,31,1173,case_hybrid_top1
360,0.5,top1,0.2090708410561113,0.15922510863087455,0.24166666666666667,0.4222222222222222,0.3623941798941799,0.8944444444444445,0.30277777777777776,0.649616368286445,31,1173,case_hybrid_top1
360,0.6,top1,0.2090708410561113,0.13314316344473864,0.24166666666666667,0.4222222222222222,0.2195701058201058,0.9333333333333333,0.5194444444444445,0.7894288150042625,31,1173,case_hybrid_top1
360,0.65,top1,0.2090708410561113,0.11773781149776212,0.24166666666666667,0.4222222222222222,0.17711309523809524,0.95,0.5916666666666667,0.8277919863597613,31,1173,case_hybrid_top1
360,0.7,top1,0.2090708410561113,0.1067416249371771,0.24166666666666667,0.4222222222222222,0.1476785714285714,0.9555555555555556,0.6472222222222223,0.8601875532821824,31,1173,case_hybrid_top1
