reranker_margin_threshold,base_margin_threshold,minimum_base_score,minimum_selected_margin,n,coverage,overall_accuracy,selective_accuracy,abstention_rate,reranker_selection_rate,hybrid_selection_rate,agreement_rate
0.0,0.02,0.0,0.0,252,1.0,0.25,0.25,0.0,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.0,0.02,252,1.0,0.25,0.25,0.0,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.0,0.05,252,1.0,0.25,0.25,0.0,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.0,0.1,252,1.0,0.25,0.25,0.0,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.9,0.0,252,1.0,0.25,0.25,0.0,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.9,0.02,252,0.9801587301587301,0.25,0.2550607287449393,0.019841269841269882,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.9,0.05,252,0.9603174603174603,0.25,0.2603305785123967,0.03968253968253965,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.9,0.1,252,0.9444444444444444,0.25,0.2647058823529412,0.05555555555555558,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.925,0.0,252,1.0,0.25,0.25,0.0,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.925,0.02,252,0.9444444444444444,0.25,0.2647058823529412,0.05555555555555558,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.925,0.05,252,0.8809523809523809,0.25,0.28378378378378377,0.11904761904761907,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.925,0.1,252,0.7976190476190477,0.25,0.31343283582089554,0.20238095238095233,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.95,0.0,252,1.0,0.25,0.25,0.0,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.95,0.02,252,0.9126984126984127,0.25,0.27391304347826084,0.08730158730158732,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.95,0.05,252,0.7817460317460317,0.24603174603174602,0.3147208121827411,0.21825396825396826,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.02,0.95,0.1,252,0.6388888888888888,0.24206349206349206,0.37888198757763975,0.36111111111111116,0.18253968253968253,0.3888888888888889,0.42857142857142855
0.0,0.04,0.0,0.0,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.0,0.02,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.0,0.05,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.0,0.1,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.9,0.0,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.9,0.02,252,0.9801587301587301,0.25793650793650796,0.2631578947368421,0.019841269841269882,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.9,0.05,252,0.9682539682539683,0.25793650793650796,0.26639344262295084,0.031746031746031744,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.9,0.1,252,0.9523809523809523,0.25793650793650796,0.2708333333333333,0.04761904761904767,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.925,0.0,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.925,0.02,252,0.9285714285714286,0.25793650793650796,0.2777777777777778,0.0714285714285714,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.925,0.05,252,0.9007936507936508,0.25793650793650796,0.28634361233480177,0.09920634920634919,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.925,0.1,252,0.8174603174603174,0.25793650793650796,0.3155339805825243,0.18253968253968256,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.95,0.0,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.95,0.02,252,0.8888888888888888,0.25396825396825395,0.2857142857142857,0.11111111111111116,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.95,0.05,252,0.8174603174603174,0.25,0.3058252427184466,0.18253968253968256,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.04,0.95,0.1,252,0.6746031746031746,0.24603174603174602,0.36470588235294116,0.32539682539682535,0.2777777777777778,0.29365079365079366,0.42857142857142855
0.0,0.06,0.0,0.0,252,1.0,0.25793650793650796,0.25793650793650796,0.0,0.376984126984127,0.19444444444444445,0.42857142857142855
