system,case_count,question_count,radgraph_entity_f1_mean,radgraph_entity_f1_ci_low,radgraph_entity_f1_ci_high,radgraph_entity_relation_f1_mean,radgraph_entity_relation_f1_ci_low,radgraph_entity_relation_f1_ci_high,radgraph_complete_f1_mean,radgraph_complete_f1_ci_low,radgraph_complete_f1_ci_high
case_bm25_draft,36,108,0.17583967524323751,0.12963165128954834,0.22754783652399374,0.15722593774138788,0.11445216040985547,0.20479861026267598,0.14081207992289396,0.09660344800123488,0.18931275986528512
case_bm25_top1_semantic_agent,36,108,0.16061791990306787,0.11079340940431762,0.21471273109283506,0.14481479072900033,0.10037278029075795,0.19289273374839638,0.13433438141745094,0.08798340254034746,0.18238164674491186
case_hybrid_a050_draft,36,108,0.20244182213185108,0.15772751514540567,0.2537666628985808,0.17991199912934394,0.13966824588541593,0.22499705927690386,0.16435038828406812,0.12223176592936741,0.2103197432348914
case_hybrid_top1_a050_semantic_agent,36,108,0.20097594933396412,0.15181283569080076,0.25402517545273556,0.17626144624345166,0.13552067848516805,0.22041033109924166,0.1620969363222175,0.12049509519330648,0.20877086824251195
final_adaptive_direct_draft,36,108,0.1872037248191099,0.14194660708803197,0.23493509135607987,0.16152051338592527,0.12073966101409096,0.20564236768020525,0.16388282042728905,0.11883287607756554,0.2110750826968935
final_adaptive_direct_semantic_agent,36,108,0.1888761429938202,0.14173184759214197,0.23755741661228064,0.1637772293218626,0.12030168098956286,0.21105964045218353,0.16287157072854191,0.11839051671915968,0.2115289070481308
llm_only,36,108,0.045276601039427974,0.03282365271920529,0.0589627969447159,0.04138387062399077,0.03031233243968192,0.05384388245969398,0.0333578047241364,0.02288512104101136,0.045317368430991184
report_bm25_draft,36,108,0.13822249658398855,0.10610467903804136,0.17245904491492245,0.12054193032766218,0.09329483922212574,0.14961267540356224,0.10885498511396277,0.08212562603719613,0.13893227329005656
report_bm25_semantic_agent,36,108,0.13603170000285278,0.09983723081359448,0.1762348678438756,0.12234078303690496,0.09052597735539292,0.15952385524935836,0.11451296288134406,0.08052505636320963,0.15167412845790518
