alpha,split,hit@1,recall@1,hit@3,recall@3,hit@5,recall@5,hit@10,recall@10,hit@20,recall@20,mrr
0.0,development,0.21825396825396826,0.21825396825396826,0.34523809523809523,0.34523809523809523,0.38492063492063494,0.38492063492063494,0.4246031746031746,0.4246031746031746,0.4880952380952381,0.4880952380952381,0.29005676821908577
0.1,development,0.2261904761904762,0.2261904761904762,0.35714285714285715,0.35714285714285715,0.39285714285714285,0.39285714285714285,0.4365079365079365,0.4365079365079365,0.5079365079365079,0.5079365079365079,0.30054132293738667
0.2,development,0.23412698412698413,0.23412698412698413,0.3611111111111111,0.3611111111111111,0.40476190476190477,0.40476190476190477,0.4642857142857143,0.4642857142857143,0.5158730158730159,0.5158730158730159,0.3116670760099184
0.3,development,0.24603174603174602,0.24603174603174602,0.36507936507936506,0.36507936507936506,0.4166666666666667,0.4166666666666667,0.4722222222222222,0.4722222222222222,0.5158730158730159,0.5158730158730159,0.3226608704660452
0.4,development,0.23809523809523808,0.23809523809523808,0.376984126984127,0.376984126984127,0.42063492063492064,0.42063492063492064,0.49206349206349204,0.49206349206349204,0.5198412698412699,0.5198412698412699,0.32051973744486273
0.5,development,0.23412698412698413,0.23412698412698413,0.3888888888888889,0.3888888888888889,0.42857142857142855,0.42857142857142855,0.4801587301587302,0.4801587301587302,0.5476190476190477,0.5476190476190477,0.3224084636683229
0.6,development,0.23015873015873015,0.23015873015873015,0.38095238095238093,0.38095238095238093,0.42857142857142855,0.42857142857142855,0.49206349206349204,0.49206349206349204,0.5634920634920635,0.5634920634920635,0.3222094390074082
0.7,development,0.23412698412698413,0.23412698412698413,0.34523809523809523,0.34523809523809523,0.4246031746031746,0.4246031746031746,0.48412698412698413,0.48412698412698413,0.5674603174603174,0.5674603174603174,0.31661051058395523
0.8,development,0.23412698412698413,0.23412698412698413,0.3333333333333333,0.3333333333333333,0.376984126984127,0.376984126984127,0.4722222222222222,0.4722222222222222,0.5515873015873016,0.5515873015873016,0.30587740939217056
0.9,development,0.16666666666666666,0.16666666666666666,0.2896825396825397,0.2896825396825397,0.3253968253968254,0.3253968253968254,0.40476190476190477,0.40476190476190477,0.5079365079365079,0.5079365079365079,0.24410450967284228
1.0,development,0.12301587301587301,0.12301587301587301,0.21031746031746032,0.21031746031746032,0.25396825396825395,0.25396825396825395,0.29365079365079366,0.29365079365079366,0.4166666666666667,0.4166666666666667,0.18230127089822284
